Sucess: 811
Erros: 149
Rate: 0.8447916666666667
Execution Time: 8686
Test;Best Match;Search Time;DTW
8;8;15;1,5277269999999987
8;8;14;1,472226999999999
8;8;15;2,0555999999999974
8;8;13;3,1111610099999982
8;8;16;1,3055349999999994
8;4;15;14,236413009999994
8;8;12;6,222483
8;8;10;5,805360978666997
8;8;12;5,90293799
8;8;13;4,596888999999999
8;8;12;5,416936
8;8;7;2,833495999999999
8;8;6;4,652734
8;8;8;8,527893979999998
8;8;9;3,527602999999999
8;8;10;6,3197980000000005
8;8;9;4,791281
8;10;5;6,833275016000197
8;8;8;7,736494020000001
8;8;9;5,069539979999998
8;8;7;3,9307169999999987
8;10;3;4,25004
8;6;0;1,51391
8;10;3;4,653210000000001
8;8;8;2,569193966666998
8;8;11;7,472150003333297
8;6;9;4,528034999999999
8;8;10;6,347582034666301
8;8;10;3,7638229999999995
8;8;13;5,125278998666699
8;8;14;3,847192999999997
8;8;12;2,6108749979999972
8;8;11;4,8333189999999995
8;8;11;6,194541966666998
8;8;10;5,083098019999999
8;8;14;4,944508999999998
8;8;8;4,125133
9;9;7;2,2916499999999984
9;1;6;2,1249499999999992
9;1;6;1,8332699999999988
9;1;6;1,6943959999999998
9;1;6;1,7361619999999989
9;9;6;1,555543999999998
9;11;7;1,4166889966666998
9;9;6;1,5832580000000003
9;9;6;1,7361199999999994
9;11;9;1,4582730066665999
9;11;7;1,2638250033332996
9;9;6;0,6805599999999998
9;1;6;0,9304979999999993
9;9;7;0,9305479999999996
9;11;9;1,1944690033333
9;9;8;1,3055999999999992
9;9;7;1,1527779999999996
9;9;6;1,138849999999999
9;1;5;1,23618
9;1;5;0,7500399999999997
9;1;8;1,7499599999999984
9;11;6;1,2360339966666989
9;9;6;1,4305419999999982
9;1;7;0,9305479999999994
9;1;7;1,9167169999999984
9;1;6;1,624986999999998
9;1;7;1,2499700000000002
9;9;7;1,0000259999999992
9;9;7;1,9305520106670002
9;9;8;0,972216989333
9;9;8;1,291648
9;9;8;1,083351042668
9;9;7;1,1666499999999995
9;9;6;1,04163
9;9;7;2,4027099999999995
9;9;7;0,9027479999999997
9;9;7;1,125007
9;11;7;2,0972659999999985
9;11;8;1,9720759999999977
